layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,comp_a,comp_b,cosine_components,score_corr,label_a,label_b,label_token_jaccard
13,2.8,ambig,flip,rejected,10,200,0,1,4,5,0.65492844581604,0.2854970137529708,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,5,3,0.6846787929534912,0.24358956475018065,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,6,6,0.6452968120574951,0.026467580000013334,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,7,7,0.7898481488227844,-0.018473109374445004,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,8,4,-0.06919396668672562,0.03301728965565177,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,9,8,0.09956817328929901,0.026903076713042692,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,0,0,0.9884030818939209,-0.021577771657439675,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,1,1,0.9383925795555115,0.1335449131443006,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,2,3,0.5430465936660767,-0.01927876817886939,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,3,8,0.00779467960819602,-0.00017469940536801054,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,4,4,0.8165556788444519,0.0782644260779115,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,5,5,0.8187931180000305,0.027271220592286493,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,6,7,0.5492061972618103,-0.0069966148680584645,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,7,6,0.6576609015464783,0.05266336000856999,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,8,2,-0.0005377565394155681,0.06900778795237687,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,chosen,10,200,0,1,9,9,0.34413665533065796,0.023012181578862062,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,0,0,0.9898103475570679,0.015894966410373964,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,1,9,0.09157931059598923,0.17304445944331354,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,2,3,0.4547651410102844,0.008949129827518106,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,3,2,0.491933673620224,0.08568216304875899,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,4,4,0.34192755818367004,0.14925252354851745,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,5,5,0.32122471928596497,0.04891140508415443,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,6,8,0.5365679860115051,0.20676738628830763,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,7,7,0.4033314883708954,-0.06500892681374197,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,8,6,0.5105888247489929,0.015127579755820669,MANUAL,MANUAL,1.0
13,2.8,ambig,noflip,rejected,10,200,0,1,9,1,0.050829462707042694,0.054360351381882256,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,0,0,0.947118878364563,0.07006214641240371,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,1,1,0.911954402923584,-0.010197171470641303,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,2,2,0.7979960441589355,0.23825704283388338,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,3,3,0.8015608191490173,0.1753229940752512,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,4,4,0.7987524271011353,0.3176596068472489,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,5,5,0.8375951647758484,0.2049343137994511,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,6,6,0.6856858730316162,0.13664087321843613,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,7,8,0.644335150718689,0.04538541202816306,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,8,9,0.11980275064706802,-0.08446116008143041,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,chosen,10,200,0,1,9,7,0.05635836720466614,0.02649734353106608,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,rejected,10,200,0,1,0,0,0.9594190716743469,0.10686897463289548,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,rejected,10,200,0,1,1,1,0.9619705677032471,-0.007778263243674101,MANUAL,MANUAL,1.0
13,2.8,disambig,flip,rejected,10,200,0,1,2,9,0.1553455889225006,-0.017354880004347366,MANUAL,MANUAL,1.0
