seed,layer,epsilon,cc,tag,mode,K,N,component,label,label_is_parse_error,mean_abs_score,winner_freq,mean_share,evr
0,13,2.0,disambig,noflip,chosen,10,200,3,MANUAL,False,0.28161129355430603,0.054999999701976776,0.11525367945432663,0.046634361147880554
0,13,2.0,disambig,noflip,chosen,10,200,2,MANUAL,False,0.26901113986968994,0.04500000178813934,0.09131112694740295,0.049705229699611664
0,13,2.0,disambig,noflip,chosen,10,200,4,MANUAL,False,0.20606747269630432,0.019999999552965164,0.07085511088371277,0.030230777338147163
0,13,2.0,disambig,noflip,chosen,10,200,5,MANUAL,False,0.2017037570476532,0.014999999664723873,0.06931917369365692,0.026527605950832367
0,13,2.0,disambig,noflip,chosen,10,200,7,MANUAL,False,0.18260258436203003,0.0,0.0647304505109787,0.02220570668578148
0,13,2.0,disambig,noflip,chosen,10,200,6,MANUAL,False,0.17948223650455475,0.004999999888241291,0.06127459183335304,0.02250847965478897
0,13,2.0,disambig,noflip,chosen,10,200,8,MANUAL,False,0.16259978711605072,0.0,0.056070536375045776,0.01889629475772381
0,13,2.0,disambig,noflip,chosen,10,200,9,MANUAL,False,0.16050970554351807,0.0,0.0558832511305809,0.017903340980410576
0,13,2.0,disambig,noflip,rejected,10,200,0,MANUAL,False,0.9252461791038513,0.9100000262260437,0.33640316128730774,0.34400156140327454
0,13,2.0,disambig,noflip,rejected,10,200,2,MANUAL,False,0.30413201451301575,0.014999999664723873,0.11667490750551224,0.04878509044647217
0,13,2.0,disambig,noflip,rejected,10,200,1,MANUAL,False,0.2986399233341217,0.03999999910593033,0.09783393889665604,0.06431018561124802
0,13,2.0,disambig,noflip,rejected,10,200,3,MANUAL,False,0.27792873978614807,0.014999999664723873,0.0946255698800087,0.04569699987769127
0,13,2.0,disambig,noflip,rejected,10,200,5,MANUAL,False,0.19071999192237854,0.0,0.06390006095170975,0.023772703483700752
0,13,2.0,disambig,noflip,rejected,10,200,4,MANUAL,False,0.18621478974819183,0.004999999888241291,0.062433790415525436,0.02379988320171833
0,13,2.0,disambig,noflip,rejected,10,200,7,MANUAL,False,0.183911994099617,0.0,0.06335154175758362,0.020062169060111046
0,13,2.0,disambig,noflip,rejected,10,200,6,MANUAL,False,0.1833985447883606,0.009999999776482582,0.0645546168088913,0.021697193384170532
0,13,2.0,disambig,noflip,rejected,10,200,8,MANUAL,False,0.15968072414398193,0.004999999888241291,0.052906036376953125,0.01930924691259861
0,13,2.0,disambig,noflip,rejected,10,200,9,MANUAL,False,0.14279069006443024,0.0,0.04731636494398117,0.015449520200490952
0,13,2.8,ambig,flip,chosen,10,200,1,MANUAL,False,0.4271666705608368,0.2199999988079071,0.16054126620292664,0.12514805793762207
0,13,2.8,ambig,flip,chosen,10,200,0,MANUAL,False,0.41687121987342834,0.2849999964237213,0.1584223061800003,0.13576123118400574
0,13,2.8,ambig,flip,chosen,10,200,2,MANUAL,False,0.3183865249156952,0.19499999284744263,0.11735295504331589,0.08842664211988449
0,13,2.8,ambig,flip,chosen,10,200,3,MANUAL,False,0.3115699589252472,0.1599999964237213,0.1195271909236908,0.07317788153886795
0,13,2.8,ambig,flip,chosen,10,200,4,MANUAL,False,0.25311529636383057,0.054999999701976776,0.0942816510796547,0.04774336516857147
0,13,2.8,ambig,flip,chosen,10,200,5,MANUAL,False,0.2325258105993271,0.04500000178813934,0.08995214104652405,0.04077385365962982
0,13,2.8,ambig,flip,chosen,10,200,6,MANUAL,False,0.1928255259990692,0.014999999664723873,0.07381534576416016,0.028717482462525368
0,13,2.8,ambig,flip,chosen,10,200,7,MANUAL,False,0.18343600630760193,0.004999999888241291,0.06929001212120056,0.025535786524415016
0,13,2.8,ambig,flip,chosen,10,200,8,MANUAL,False,0.15612484514713287,0.0,0.05971215292811394,0.019540738314390182
0,13,2.8,ambig,flip,chosen,10,200,9,MANUAL,False,0.14734533429145813,0.019999999552965164,0.057104967534542084,0.018839597702026367
0,13,2.8,ambig,flip,rejected,10,200,0,MANUAL,False,0.4805793762207031,0.48500001430511475,0.21411928534507751,0.18893656134605408
0,13,2.8,ambig,flip,rejected,10,200,2,MANUAL,False,0.27324002981185913,0.15000000596046448,0.12493129819631577,0.06951732933521271
0,13,2.8,ambig,flip,rejected,10,200,1,MANUAL,False,0.2566763460636139,0.12999999523162842,0.11360494792461395,0.08351770043373108
0,13,2.8,ambig,flip,rejected,10,200,4,MANUAL,False,0.2160291224718094,0.07000000029802322,0.09752202779054642,0.045082736760377884
0,13,2.8,ambig,flip,rejected,10,200,5,MANUAL,False,0.19594474136829376,0.05000000074505806,0.08889739960432053,0.03875243291258812
