seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,noflip,chosen,6,MANUAL,adv_margin,-0.13782486760114493
0,13,1.0,ambig,noflip,chosen,7,MANUAL,adv_margin,0.37625547941580684
0,13,1.0,ambig,noflip,chosen,8,MANUAL,adv_margin,-0.09056664152048276
0,13,1.0,ambig,noflip,chosen,9,MANUAL,adv_margin,0.01853735599659746
0,13,1.0,ambig,noflip,chosen,0,MANUAL,margin_delta,-0.4076309113799658
0,13,1.0,ambig,noflip,chosen,1,MANUAL,margin_delta,-0.20532421741965629
0,13,1.0,ambig,noflip,chosen,2,MANUAL,margin_delta,-0.09403468761498857
0,13,1.0,ambig,noflip,chosen,3,MANUAL,margin_delta,-0.04521236475081978
0,13,1.0,ambig,noflip,chosen,4,MANUAL,margin_delta,0.4781150311114129
0,13,1.0,ambig,noflip,chosen,5,MANUAL,margin_delta,0.19638991607702455
0,13,1.0,ambig,noflip,chosen,6,MANUAL,margin_delta,-0.15599633831097273
0,13,1.0,ambig,noflip,chosen,7,MANUAL,margin_delta,0.20872389493295115
0,13,1.0,ambig,noflip,chosen,8,MANUAL,margin_delta,-0.0668061027785408
0,13,1.0,ambig,noflip,chosen,9,MANUAL,margin_delta,-0.052319344769633354
0,13,1.0,ambig,noflip,chosen,0,MANUAL,chosen_len_tokens,0.038346185046979606
0,13,1.0,ambig,noflip,chosen,1,MANUAL,chosen_len_tokens,0.03852822810411818
0,13,1.0,ambig,noflip,chosen,2,MANUAL,chosen_len_tokens,0.09481803759985956
0,13,1.0,ambig,noflip,chosen,3,MANUAL,chosen_len_tokens,-0.09507238200044131
0,13,1.0,ambig,noflip,chosen,4,MANUAL,chosen_len_tokens,0.008095742679993237
0,13,1.0,ambig,noflip,chosen,5,MANUAL,chosen_len_tokens,-0.03502389554964894
0,13,1.0,ambig,noflip,chosen,6,MANUAL,chosen_len_tokens,0.1774608981859661
0,13,1.0,ambig,noflip,chosen,7,MANUAL,chosen_len_tokens,-0.061709656426615245
0,13,1.0,ambig,noflip,chosen,8,MANUAL,chosen_len_tokens,0.001526177929093059
0,13,1.0,ambig,noflip,chosen,9,MANUAL,chosen_len_tokens,0.18972427661138438
0,13,1.0,ambig,noflip,chosen,0,MANUAL,rejected_len_tokens,0.10260048065846249
0,13,1.0,ambig,noflip,chosen,1,MANUAL,rejected_len_tokens,0.03137731262403655
0,13,1.0,ambig,noflip,chosen,2,MANUAL,rejected_len_tokens,0.09339423187709803
0,13,1.0,ambig,noflip,chosen,3,MANUAL,rejected_len_tokens,-0.013114267171053908
0,13,1.0,ambig,noflip,chosen,4,MANUAL,rejected_len_tokens,0.029820506365658694
0,13,1.0,ambig,noflip,chosen,5,MANUAL,rejected_len_tokens,-0.04051546623573304
0,13,1.0,ambig,noflip,chosen,6,MANUAL,rejected_len_tokens,0.1644880341860414
0,13,1.0,ambig,noflip,chosen,7,MANUAL,rejected_len_tokens,-0.06993284000856993
0,13,1.0,ambig,noflip,chosen,8,MANUAL,rejected_len_tokens,0.0038840204531871664
0,13,1.0,ambig,noflip,chosen,9,MANUAL,rejected_len_tokens,0.21024078735631893
0,13,1.0,ambig,noflip,chosen,0,MANUAL,delta_global_l2,-0.30081275330094703
0,13,1.0,ambig,noflip,chosen,1,MANUAL,delta_global_l2,0.08439238278159701
0,13,1.0,ambig,noflip,chosen,2,MANUAL,delta_global_l2,0.2912248806152177
0,13,1.0,ambig,noflip,chosen,3,MANUAL,delta_global_l2,-0.09521808418585406
0,13,1.0,ambig,noflip,chosen,4,MANUAL,delta_global_l2,-0.4526399832146387
0,13,1.0,ambig,noflip,chosen,5,MANUAL,delta_global_l2,-0.20936007199520013
0,13,1.0,ambig,noflip,chosen,6,MANUAL,delta_global_l2,0.09537137745728472
0,13,1.0,ambig,noflip,chosen,7,MANUAL,delta_global_l2,-0.27655323960743095
0,13,1.0,ambig,noflip,chosen,8,MANUAL,delta_global_l2,0.14041973926664944
0,13,1.0,ambig,noflip,chosen,9,MANUAL,delta_global_l2,0.10262448549378406
0,13,1.0,ambig,noflip,chosen,0,MANUAL,delta_max_token_l2,0.006049460847663394
0,13,1.0,ambig,noflip,chosen,1,MANUAL,delta_max_token_l2,-0.05565004468685773
0,13,1.0,ambig,noflip,chosen,2,MANUAL,delta_max_token_l2,-0.026407672503752283
0,13,1.0,ambig,noflip,chosen,3,MANUAL,delta_max_token_l2,-0.016227280408843497
0,13,1.0,ambig,noflip,chosen,4,MANUAL,delta_max_token_l2,-0.05105864820153567
